iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
ABW,LCN,Aruba,HIC,35563,,,,,,,,,,NA,Yes,Yes,Yes,Yes,103187,0,0,0,0,0,0,88132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,89,NA,NA
AFG,SAS,Afghanistan,LIC,2057,,,,,,,,,,NA,Yes,Yes,Yes,NA,34656032,6802511,0,20000,0,0,9855,5628525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other
AGO,SSF,Angola,LMC,8037,52,7,4,12,12,14,,,,NA,NA,Yes,Yes,NA,25096150,0,0,92000,0,0,5496,4213644,NA,NA,NA,NA,NA,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,ECS,Albania,UMC,13724,51,5,5,15,10,10,,5,,No,Yes,Yes,Yes,No,2854191,0,203009,20000,5715,270269,114,1087447,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some disposal sites
AND,ECS,Andorra,HIC,43712,31,8,3,12,35,11,,,,NA,Yes,Yes,Yes,NA,82431,0,0,0,1788,0,0,43000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,52.1,NA,NA,NA,NA,NA,47.9,NA,NA
ARE,MEA,United Arab Emirates,HIC,67119,39,4,3,10,25,19,,,,Yes,Yes,NA,Yes,NA,9770529,493106,2876313,134000,57525,3306644,4573,5617682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,9,62,NA,20,NA,NA,NA,NA
ARG,LCN,Argentina,HIC,23550,39,3,2,15,14,15,1,1,10,Yes,NA,Yes,Yes,NA,42981516,0,0,291700,310044,0,0,17910550,NA,NA,NA,NA,NA,NA,89.91,NA,NA,NA,94.82,NA,NA,NA,8.9,NA,NA,22.6,NA,6,62.5,NA,NA,Other
ARM,ECS,Armenia,UMC,11020,57,3,3,17,7,11,0,1,,No,No,Yes,No,NA,2906220,1570,7820,14000,62270,47310540,0,492800,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Other
ASM,EAS,American Samoa,UMC,11113,20,3,8,26,26,13,4,,,NA,Yes,NA,NA,NA,55599,0,0,0,0,0,0,18989,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,LCN,Antigua and Barbuda,HIC,17966,46,7,7,12,15,13,,,,No,Yes,Yes,No,No,96777,0,0,1100,0,0,0,30585,NA,NA,NA,NA,NA,NA,98.61,NA,NA,NA,NA,NA,NA,0.08,98.68,NA,NA,NA,NA,NA,NA,1.14,0.1,Disposal Site
AUS,EAS,Australia,HIC,47784,48,4,19,3,17,8,,,,Yes,Yes,Yes,Yes,Yes,23789338,0,20000000,574000,7000000,31000000,0,13345000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.77,48.87,NA,NA,42.1,NA,NA,NA,NA
AUT,ECS,Austria,HIC,56030,31,7,4,19,20,11,,8,,NA,Yes,Yes,No,NA,8877067,1887723,42423893,166174,1272288,0,696748,5219716,NA,NA,NA,NA,NA,NA,NA,97.77,NA,NA,NA,NA,NA,31.24,NA,37.9,2.98,NA,NA,25.66,NA,2.22,NA,NA
AZE,ECS,Azerbaijan,UMC,14854,45,5,3,14,11,8,3,,10,NA,Yes,Yes,No,NA,9649341,0,0,63000,296979,0,0,2930349,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Various
BDI,SSF,Burundi,LIC,840,81,3,2,3,7,4,,,,NA,NA,NA,NA,NA,6741569,0,0,5000,0,0,0,1872016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,ECS,Belgium,HIC,51915,14,3,2,40,18,14,,2,6,NA,Yes,Yes,No,NA,11484055,5635143,35824399,603575,2946195,0,2397368,4765883,NA,NA,NA,NA,NA,NA,NA,97.74,NA,NA,NA,NA,NA,19.137,NA,43.39,0.91,NA,NA,34.303,NA,2.26,NA,NA
BEN,SSF,Benin,LIC,2227,52,2,2,34,3,7,,,,NA,NA,Yes,Yes,NA,5521763,0,0,8200,0,0,1698,685936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,75,NA,NA
BFA,SSF,Burkina Faso,LIC,1925,21,1,1,61,7,9,,,,No,No,Yes,Yes,NA,18110624,0,0,11000,7871,0,0,2575251,NA,NA,NA,NA,NA,NA,9.6,34.52,NA,NA,NA,NA,NA,NA,NA,NA,17,59,NA,12,NA,12,NA,NA
BGD,SAS,Bangladesh,LMC,3196,81,0,1,9,3,5,1,,1,No,Yes,Yes,Yes,NA,155727056,65000000,0,142000,114358,26884,12271,14778497,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,60.39,NA,NA,5.25,NA,NA,NA,NA,NA,NA,NA,94.75,NA,Source
BGR,ECS,Bulgaria,UMC,22279,24,6,2,18,14,12,2,2,19,Yes,Yes,Yes,Yes,Yes,7025037,983646,172369117,53785,12206169,0,518228,2859190,NA,NA,NA,NA,NA,NA,NA,98.3,NA,NA,NA,NA,NA,10.32,NA,2.75,66.22,NA,NA,19.03,NA,1.68,NA,Other
BHR,MEA,Bahrain,HIC,47938,59,3,2,15,13,7,,,,No,Yes,Yes,NA,NA,1425171,0,570100,20000,31000,140000,911000,951943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,8,NA,NA,NA,Disposal Site
BHS,LCN,"Bahamas, The",HIC,35400,46,7,7,12,15,13,,,,No,Yes,No,No,No,386838,0,0,4900,0,0,0,264000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH,ECS,Bosnia and Herzegovina,UMC,12671,,,,93,5,,,,2,No,No,No,Yes,Yes,3535961,0,252310,1409,8408,4048650,8150,1248718,NA,NA,NA,NA,NA,NA,NA,73.99,NA,NA,NA,NA,NA,NA,8.55,NA,NA,41.75,0.025,9.70E-04,24.12,25.55403,NA,Other
BLR,ECS,Belarus,UMC,18308,30,8,2,35,5,12,6,2,,Yes,Yes,Yes,Yes,Yes,9489616,0,0,72000,1336926,0,0,4280000,NA,NA,69.2,NA,NA,NA,93.2,NA,NA,NA,100,NA,NA,NA,76.9,NA,NA,7.1,NA,16,NA,NA,NA,At the disposal sites and at the waste generation source
BLZ,LCN,Belize,UMC,7259,47,8,5,5,16,19,,,,Yes,Yes,Yes,NA,NA,359288,0,0,2300,0,0,188,101379,NA,NA,NA,NA,NA,NA,85.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,34,NA,NA,NA
BMU,NAC,Bermuda,HIC,80982,17,9,6,26,29,13,,,,Yes,Yes,Yes,No,NA,64798,0,0,0,525,0,0,82000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,18.3,12.2,67.6,NA,NA,NA,2,NA,NA,NA,NA
BOL,LCN,Bolivia,LMC,7984,55,3,3,23,7,10,,,,Yes,Yes,Yes,No,Yes,10724705,0,0,35392,545183,0,4683,2219052,NA,NA,5.9,NA,NA,NA,57.6,NA,NA,NA,85.4,NA,NA,0.4,0.04,NA,NA,55.52,NA,12.11,31.93,NA,NA,Source
